show_title,cumulative_weeks_in_top_10
Chasing the Wind,3
The Garfield Movie,3
The Courier,3
The Cuphead Show!,3
Chokehold,3
My Name Is Loh Kiwan,3
Girl in the Picture,3
Girls to Buy,3
The Last Kingdom: Seven Kings Must Die,3
The Last Letter From Your Lover,3
The Law According to Lidia Poët,3
The Longest Night,3
Bruised,3
Bullet Train Explosion,3
The Lost Children,3
The Loud House Movie,3
The Love Scam,3
The Hijacking of Flight 601,3
The Hunger Games,3
The Imperfects,3
Burn the House Down,3
Murdaugh Murders: A Southern Scandal,3
Murder Mindfully,3
Muted,3
My Best Friend Anne Frank,3
"My Brother, My Sister",3
My Father's Violin,3
The Magician's Elephant,3
Blood Vessel,3
Bodkin,3
Bogotá: City of the Lost,3
Borderless Fog,3
Boy Swallows Universe,3
Brazen,3
The Marksman,3
The Menendez Brothers,3
The Midnight Club,3
The Quake,3
Best. Christmas. Ever!,3
Mission Majnu,3
"Good Morning, Verônica",3
Goyo,3
Grace and Frankie,3
Green Snake,3
Morbius,3
Mother/Android,3
Mr. Harrigan's Phone,3
Blonde,3
Blood Coast,3
The Monkey King,3
The Most Beautiful Girl in the World,3
The Next 365 Days,3
The Nurse,3
Bhakshak,3
Bhool Bhulaiyaa 3,3
Big Mouth,3
The Railway Men - The Untold Story Of Bhopal 1984,3
The Royal Treatment,3
Midsummer Night,3
Migration,3
Minions & More Volume 1,3
Grey's Anatomy,3
Guillermo del Toro's Cabinet of Curiosities,3
Missing,3
Black Clover: Sword of the Wizard King,3
Black Island,3
Black Knight,3
The Pope's Exorcist,3
The Power of the Dog,3
Bartkowiak,3
Believer 2,3
The Silent Sea,3
The Sinner,3
The Snow Girl,3
Marmaduke,3
Master of the House,3
Matilda,3
Mea Culpa,3
Mean Girls,3
Happiness for Beginners,3
Happy Ending,3
Meenakshi Sundareshwar,3
Meet Me Next Christmas,3
Midnight at the Pera Palace,3
Between Lands,3
Havoc,3
He's All That,3
Heart Parade,3
Heart of the Hunter,3
Heartbreak High,3
Heartstopper,3
Heavenly Ever After,3
Bad Surgeon: Love Under the Knife,3
Bade Miyan Chote Miyan,3
The Trunk,3
The Vault,3
Barbarians,3
The Swimmers,3
The Takeover,3
The Taming of the Shrewd,3
The Secret of the River,3
"Lover, Stalker, Killer",3
High Tides,3
High Water,3
Hit Man,3
Lulli,3
Lust Stories 2,3
MH370: The Plane That Disappeared,3
Ma,3
The Walking Dead,3
The War Next-door,3
The Weekend Away,3
Atypical,3
Baby Bandito,3
The Witcher: Blood Origin,3
The Wrath of God,3
The Yara Gambirasio Case: Beyond Reasonable Doubt,3
Apple Cider Vinegar,3
Archive 81,3
Army of the Dead,3
Arnold,3
Art of Love,3
Ashes,3
They Cloned Tyrone,3
This Is the Zodiac Speaking,3
Love at First Kiss,3
Love at First Sight,3
Love in the Villa,3
Home Team,3
Honeymoon Crasher,3
Honeymoonish,3
Love on the Spectrum,3
Love to Hate You,3
Hot Frosty,3
Lou,3
Love Is Blind: Brazil,3
Love Tactics 2,3
Top Boy,3
Toxic Town,3
Toy Boy,3
Time Cut,3
Titans,3
Animal,3
Anyone But You,3
Aníkúlápó,3
Tomorrow,3
Too Hot to Handle: Brazil,3
Too Old for Fairy Tales,3
Thelma the Unicorn,3
Unexplainable,3
Unfrosted,3
Unicorn Academy,3
Unseen,3
Locked In,3
Lockwood & Co.,3
Lolo and the Kid,3
Look Both Ways,3
True Spirit,3
True Story,3
Tu Jhoothi Main Makkaar,3
Turning Point: 9/11 and the War on Terror,3
All-Time High,3
Alpha Males,3
Amandla,3
Ultraman: Rising,3
